h3_id,centroid_lat,centroid_lon
88601459c7fffff,13.03861184211136,77.49876207741606
8861892555fffff,12.925854781028654,77.66114237200213
8861892431fffff,12.903582713426763,77.61441115679693
8861892ee3fffff,13.000760010740214,77.64555568332077
886014594bfffff,13.02348879141668,77.5574547427388
8860145aebfffff,12.941390022411895,77.50136563243741
8861892493fffff,12.881408517323827,77.54245536511786
886014581bfffff,12.978818026568462,77.48935949013372
8860145957fffff,13.03102936787221,77.53652481583907
886014512dfffff,12.911389571550243,77.52611835858043
8861892dd9fffff,13.0681475937098,77.63405283540051
886014516dfffff,12.896369534935793,77.54270433236738
8861892ce1fffff,13.053208729492471,77.62536867507148
886014582bfffff,13.008654728816916,77.5151034484006
8860145a07fffff,12.948744815962941,77.53936633257297
8861892487fffff,12.89627641554346,77.5679614647649
8860145989fffff,13.038634154237847,77.49034491363474
8861892505fffff,12.948293546055552,77.66574038639854
8861892483fffff,12.88881075525067,77.56362641740483
8860145825fffff,13.023586880831392,77.52377024244888
8860145a27fffff,12.971170164759199,77.54394954179695
8861892eebfffff,12.993261675580472,77.64964371878077
8861892485fffff,12.896244831449039,77.57638210262186
8861892dcbfffff,13.075591959461061,77.64682775109299
8861892ee7fffff,13.008229196576647,77.64989828546632
88601458ebfffff,12.993820550475139,77.47277647360374
8860145837fffff,13.01619203738823,77.49418349143787
8861892e91fffff,12.985909302138616,77.61158771107264
8860145937fffff,13.068455080546794,77.52451468355196
8860145955fffff,13.03100519684561,77.54494615738221
88618925edfffff,12.948419901027709,77.63202313461348
886014595dfffff,13.023513724918558,77.5490324205409
8861892ca7fffff,13.075716044582691,77.60467469620049
886014595bfffff,13.016071776525514,77.53627605720845
8860145823fffff,13.0161447541627,77.5110181209748
8860145a65fffff,12.95612594884739,77.5689627721899
8860145a67fffff,12.956154452336719,77.56054120086446
8860145b19fffff,12.978609355122002,77.55670533417822
8860145821fffff,13.016120702066349,77.51943663437869
8861892e1bfffff,12.978232918100817,77.6662511262088
88618925b7fffff,12.963564061314992,77.58172213954515
8860145b27fffff,13.023438101659705,77.57430177988203
8860145a37fffff,12.963758260788573,77.52277800142754
8860145a39fffff,12.948772715278562,77.53094776881942
886189242bfffff,12.903516976100232,77.63126241519899
8861892ea7fffff,13.023252040617457,77.63329150735649
88618925b5fffff,12.96353522535545,77.59014591924489
8861892cbbfffff,13.053334623501481,77.58322882232486
886014586dfffff,13.00108829825503,77.54444779978982
8861892e0bfffff,12.985640739397464,77.68746127202564
88618925b9fffff,12.948571688289062,77.58989446047781
8860145a49fffff,12.918735713358258,77.56412656358924
8860145a21fffff,12.963676671453175,77.54803498958996
88601696c1fffff,13.083389214474629,77.53318453829212
8861892cb5fffff,13.068271362077386,77.59190683455265
8861892c37fffff,13.068122013337536,77.64248442341258
8861892e15fffff,12.993171968680493,77.67493913373472
8861892cd7fffff,13.030854409037504,77.59549095748211
8861892c85fffff,13.053259912579994,77.60851034482715
8861892ec1fffff,12.978293846318156,77.64938917754503
88601459d1fffff,13.023703329949795,77.48168258897232
88601459ebfffff,13.046077777123529,77.50309448899097
8861892425fffff,12.918452338470273,77.6399432176777
8860145859fffff,12.963784911300444,77.51436060181348
8860145981fffff,13.046121697500972,77.48625972920462
8860169619fffff,13.083323664584686,77.55845430377326
88618925a3fffff,12.963506115874836,77.59857049532687
8861892e99fffff,12.978412411733803,77.615674818495
886189241bfffff,12.873682609829103,77.60548229822284
8860145ac1fffff,12.926433411105126,77.50111875161838
886189251dfffff,12.933388529279622,77.64862570649885
8861892ca9fffff,13.060728819045044,77.61285098462966
8861892097fffff,12.940693135024127,77.69512497636728
8861892c13fffff,13.038217539936518,77.63354525799707
8861892ce9fffff,13.045713383493581,77.62945697226553
8860145b13fffff,12.986129384854962,77.5441986583453
88601459cbfffff,13.02365757145526,77.49851525236295
88618925bdfffff,12.956038798839845,77.59423226701205
8860145a33fffff,12.956292874333522,77.51844530762978
8861892c91fffff,13.03837364137987,77.5829776457713
88618925bbfffff,12.948601225633524,77.58147111358198
88601459edfffff,13.05352176007056,77.51584651771495
8860145969fffff,13.045891125233002,77.57046548403163
8861892e5bfffff,12.963199960819754,77.6828600017736
8861892ce5fffff,13.06067806074955,77.62971054423814
8860145b6bfffff,12.99346138578419,77.59064891218219
8861892ddbfffff,13.068172898414156,77.62562204299957
8860145a01fffff,12.941250812604505,77.54345138337385
8861892599fffff,12.926141146200164,77.5853058710156
8861892ee1fffff,13.000730870067336,77.65398651326153
886189253dfffff,12.95582587516293,77.65322227760552
8860145933fffff,13.06098831843995,77.5201803895266
8860145847fffff,12.986181669191385,77.5273593688157
8861892e3bfffff,13.000671764488057,77.67085055688874
8860145aa5fffff,12.971327958397534,77.4934438494677
886189240dfffff,12.888514761805126,77.63943528129212
8861892cdbfffff,13.01589190498542,77.59523916905889
8860145911fffff,13.038543261768133,77.52401836468306
8861892c31fffff,13.060626200440296,77.64657328665642
886189241dfffff,12.881115492425067,77.61824437316983
8860145943fffff,13.030980751581758,77.55336829700238
8861892ecdfffff,12.978263519398128,77.65781975465919
8860145b09fffff,12.986021533783262,77.57788680980002
8860145b43fffff,12.978526593149843,77.58197319059735
8861892ec5fffff,12.985762845025384,77.6537317425741
8861892429fffff,12.903483698144417,77.63968923679349
8860145b59fffff,12.963592623828994,77.57329915647887
8861892417fffff,12.888649038292368,77.60573449675671
886014516bfffff,12.888935231737705,77.52995429455453
8860145b25fffff,13.023412345252435,77.58272649432553
88601459d7fffff,13.031190892822718,77.47759779220061
8861892e9bfffff,12.978441367898935,77.60724821734544
8861892e81fffff,12.99332010727974,77.63278408217872
8861892ec3fffff,12.9783238989363,77.6409593951191
8860145901fffff,13.045963177975544,77.54519537353755
8860145869fffff,12.993621877983305,77.54011299616076
88601458c9fffff,12.971378373257474,77.47661501039029
88618924a1fffff,12.911208363722828,77.57663282450444
8860145ae5fffff,12.956319740172201,77.51002852341247
88618924b3fffff,12.903834759254066,77.54703795724095
88618925d5fffff,12.92607942139366,77.60215285891356
8861892561fffff,12.948228725194458,77.6826037775636
886014580bfffff,12.98623286020402,77.51052327275386
88618925c3fffff,12.92604814952319,77.61057754673422
8861892c51fffff,13.023168178046323,77.65858475520179
8860145a43fffff,12.926261322180805,77.55162145322527
8861892463fffff,12.89598235055506,77.64377585637831
8860145a57fffff,12.92631977455903,77.53478402734446
8860145a5dfffff,12.918795685699891,77.5472871779723
8860145843fffff,12.978715876183998,77.52302602450298
8860145801fffff,12.99369842985689,77.51485580812903
