name,lat,lon,station_id,ward_id,line
synt_metro_1,12.955158182761911,77.68122279990503,station_1,ward_173,unknown
synt_metro_2,12.917090409363416,77.61126165124043,station_2,ward_126,unknown
synt_metro_3,13.049453706414507,77.63557646866188,station_3,ward_162,unknown
synt_metro_4,12.957922165098259,77.52371718742383,station_4,ward_103,unknown
synt_metro_5,13.031132813415566,77.58441344335779,station_5,ward_98,unknown
synt_metro_6,13.062379522276196,77.55777650909992,station_6,ward_151,unknown
synt_metro_7,12.947264353181389,77.6723854216694,station_7,ward_190,unknown
synt_metro_8,13.03956325830754,77.5399995501036,station_8,ward_150,unknown
synt_metro_9,12.97038358938562,77.57324250159034,station_9,ward_2,unknown
synt_metro_10,13.066572570383212,77.58043330214751,station_10,ward_180,unknown
synt_metro_11,12.983920562999918,77.65945578348888,station_11,ward_148,unknown
synt_metro_12,13.003284063511606,77.65620808048529,station_12,ward_144,unknown
synt_metro_13,12.938457498166203,77.55876061918877,station_13,ward_48,unknown
synt_metro_14,13.053614757125255,77.60145550246429,station_14,ward_134,unknown
synt_metro_15,12.983643084038057,77.57832108760547,station_15,ward_7,unknown
synt_metro_16,12.898029284757332,77.66997879687291,station_16,ward_186,unknown
synt_metro_17,13.028825539447332,77.68972801589682,station_17,ward_188,unknown
synt_metro_18,13.059868475450187,77.5702818943876,station_18,ward_142,unknown
synt_metro_19,12.969115250527683,77.63438301203743,station_19,ward_106,unknown
synt_metro_20,12.984395640377246,77.59764560144748,station_20,ward_4,unknown
synt_metro_21,12.985692789352367,77.57213297915486,station_21,ward_3,unknown
synt_metro_22,12.99728573331162,77.55982690909558,station_22,ward_27,unknown
synt_metro_23,12.956463554057795,77.59357563534722,station_23,ward_24,unknown
synt_metro_24,13.115628964764264,77.63762083936223,station_24,ward_191,unknown
synt_metro_25,12.891129706014462,77.57192764360073,station_25,ward_178,unknown
synt_metro_26,12.967342246035901,77.56184108511981,station_26,ward_5,unknown
synt_metro_27,12.959236048125584,77.64282633802831,station_27,ward_106,unknown
synt_metro_28,12.968328593520535,77.48754251456627,station_28,ward_165,unknown
synt_metro_29,12.967526753371436,77.62437924042342,station_29,ward_69,unknown
synt_metro_30,12.923750047093899,77.59997735647217,station_30,ward_95,unknown
synt_metro_31,12.995023723641843,77.5245374397417,station_31,ward_70,unknown
synt_metro_32,12.970666469085465,77.6062203341919,station_32,ward_21,unknown
synt_metro_33,12.934503453507203,77.58916388537173,station_33,ward_72,unknown
synt_metro_34,12.97993345046327,77.57797154478156,station_34,ward_1,unknown
synt_metro_35,12.9498148404653,77.59168870024254,station_35,ward_32,unknown
synt_metro_36,12.902029738130727,77.62392611787392,station_36,ward_157,unknown
synt_metro_37,12.985225579182513,77.59815316023264,station_37,ward_4,unknown
synt_metro_38,12.861196049984468,77.58368076556728,station_38,ward_171,unknown
synt_metro_39,13.007181668317568,77.57174068202161,station_39,ward_39,unknown
synt_metro_40,12.918152364277177,77.56987767639835,station_40,ward_96,unknown
synt_metro_41,13.006146324862808,77.57633104645633,station_41,ward_39,unknown
