h3_id,centroid_lat,centroid_lon,ward_id,mean_aqi,mean_electricity_kwh,mean_water_liters,mean_traffic_speed_kmph,mean_mobility_count,green_cover_ratio,built_density_score,compactness_score,sprawl_index,time_to_nearest_bus_min,time_to_nearest_metro_min,time_to_nearest_hospital_min,time_to_nearest_school_min,time_to_nearest_park_min,electricity_stress_index,water_stress_index,sewage_stress_index,pollution_stress_index,mobility_stress_index,amenity_gap_score,transport_gap_score,resource_gap_score
88618924a5fffff,12.918674630614579,77.58096903580915,,155.39680963060334,250.37669487624058,1184.0779591838027,28.112808617569396,1628.6795257474964,0.3225806451612903,50.0,0.0,1.0,2.23,1.44,2.62,0.89,1.02,0.7052303464694505,0.7052303464694505,0.7052303464694505,0.7218949580304957,0.17212948379525397,0.0462807769616082,0.158,0.0
8861892c37fffff,13.068121993943612,77.64248432246828,,124.26233032015004,208.36602902096243,933.4135686306591,21.665395470758742,124.27118460727671,0.03225806451612903,50.412541254125415,0.0015969338869370902,0.998403066113063,1.66,2.74,1.67,0.85,7.75,0.5417554431220535,0.5417554431220535,0.5417554431220535,0.526979510341686,0.3086885129994162,0.18323228241460202,0.21600000000000005,0.0
8861892eb1fffff,13.008342143162949,77.61618035902136,,69.91519426147696,236.51536356366498,216.42335982418686,23.116121098185914,622.856221141902,0.12903225806451613,50.82508250825082,0.0028744809964867377,0.9971255190035133,1.25,4.12,0.98,0.64,4.25,0.34076396901842687,0.34076396901842687,0.34076396901842687,0.18674268640596897,0.27131968489822805,0.09654707476962293,0.5740000000000001,0.0
8861892413fffff,12.881182493589474,77.60139669808248,,197.80962412097762,147.61425925370048,924.2509350216033,10.932778503167132,3900.867763637503,0.12903225806451613,51.23762376237624,0.004311721494730119,0.9956882785052699,0.8,3.55,0.6,1.4,2.57,0.4297379900733769,0.4297379900733769,0.4297379900733769,0.9874177130989628,0.8932285156025446,0.04761280691151103,0.5499999999999999,0.0
8861892c13fffff,13.038217520384142,77.63354515703287,,177.95136784565827,104.55167774277614,675.3325363250419,43.75401936729842,658.7940691284473,0.0,51.65016501650165,0.006600660066006611,0.9933993399339934,1.4,2.05,0.69,0.71,12.05,0.26498160268466775,0.26498160268466775,0.26498160268466775,0.8630963498403382,0.008087899812451806,0.3190944233007127,0.12999999999999998,0.0
8861892eabfffff,13.008286209374521,77.63303768112861,,110.84230951065037,290.95968404302823,762.5403556396889,27.919385538175025,1515.5503912677218,0.03225806451612903,52.06270627062706,0.007984669434685397,0.9920153305653147,0.36,3.7,1.13,0.82,7.36,0.6318190193468506,0.6318190193468506,0.6318190193468506,0.44296431490533456,0.17530858225331106,0.17934080979570688,0.668,0.0
8860145aadfffff,12.963837373511856,77.49752809735945,,195.21256097543213,221.41567576435386,353.8678391350545,29.624601738172537,1205.4005933588771,0.0967741935483871,52.475247524752476,0.008942829766847654,0.9910571702331523,1.32,0.75,1.13,0.68,2.49,0.3631937860186307,0.3631937860186307,0.3631937860186307,0.9711589627713105,0.14871193761653517,0.04524954441471724,0.11400000000000002,0.0
8860145aedfffff,12.94882767539573,77.51411293443614,,137.88248561552783,246.7318134161462,1143.7677515284481,14.722725582422948,767.3135537261805,0.0,52.88778877887789,0.011551155115511563,0.9884488448844885,0.99,1.49,2.31,0.56,8.87,0.6868036354081251,0.6868036354081251,0.6868036354081251,0.6122476351276477,0.5894758091538288,0.21307895991771275,0.1,0.0
8860145b5bfffff,12.963620892854221,77.56487686913171,,196.29193294057657,240.97879643419867,652.9258507461404,35.71715185254872,3950.225629297699,0.03225806451612903,53.3003300330033,0.01277547109549664,0.9872245289045034,1.17,0.79,3.01,0.31,4.31,0.5042264291681472,0.5042264291681472,0.5042264291681472,0.9779163030085132,0.07443131306953671,0.09884486634035333,0.07599999999999998,0.0
886014581dfffff,12.986258025647183,77.50210632152105,,179.10839741874707,298.26851752595525,570.9375282606327,30.232467498272356,2845.638843471409,0.03225806451612903,53.71287128712871,0.01437240498243373,0.9856275950175662,1.1,2.96,1.52,0.78,8.07,0.5789547784709743,0.5789547784709743,0.5789547784709743,0.870339860643234,0.13995630877666249,0.1950924150364181,0.372,0.0
