h3_index,pm2_5,pm10,no2,so2,o3,aqi,aqi_category
88618925d3fffff,83.6504212151004,118.01346008038729,121.29874533051601,92.14427334255639,102.06566865445144,178.83473738366797,Moderate
886014c901fffff,70.45052845029475,130.6108336754188,96.08483999841593,100.74712103333187,100.63982282284798,134.83509483431584,Moderate
8860145911fffff,67.77673887617442,135.65607252497418,97.95129706438883,93.03930654051554,89.16657650784747,125.92246292058141,Moderate
8861892e3bfffff,73.91329465806162,115.54092431444748,111.55899344183338,89.34996438954308,83.87071624026646,146.3776488602054,Moderate
8861892ccdfffff,73.03763291378905,127.81548112338172,106.39494769439929,103.63011077252848,105.27488297816494,143.45877637929686,Moderate
8861892435fffff,74.95894967524741,135.82279964554164,101.54364455974691,94.6217898086668,91.14296778423477,149.86316558415803,Moderate
8860145b55fffff,68.94975889675895,126.35242914286219,84.86599003425749,93.06778880219991,111.565766783703,129.83252965586317,Moderate
886014c909fffff,70.52089937317456,130.59851008905426,96.17895759292074,100.68665001575732,100.60194301312356,135.06966457724855,Moderate
886014c90bfffff,70.54876303892452,130.59328469054742,96.21519506486477,100.66290067059035,100.58853156893285,135.16254346308173,Moderate
8861892eedfffff,73.88587802661999,114.98404292570996,111.8349584263049,88.92541050702395,83.16258505403601,146.28626008873331,Moderate
8860145b09fffff,70.76045711056061,127.00374484867477,89.35274493873254,94.06504081181184,109.1462695790353,135.86819036853535,Moderate
88618925d1fffff,80.24812660833041,123.2257622579751,109.51096078852328,90.36361280080277,94.35170224218108,167.49375536110136,Moderate
8860145b43fffff,71.52038643005793,127.43974783734964,90.49715457157961,94.04780890466701,108.32261059336605,138.40128810019309,Moderate
8860145b5dfffff,71.62499594651179,127.54694391743423,89.83564852296425,93.68852460326977,108.73603993981781,138.74998648837263,Moderate
88618925cbfffff,75.12584625606273,121.78437270448123,98.59743488116911,87.15160392039895,90.8770374293408,150.4194875202091,Moderate
8860145a23fffff,85.89339741697987,129.98886807306422,90.82034005913891,90.60448661621106,119.87648780622922,186.31132472326624,Moderate
8861892ccbfffff,72.40705725606308,126.89656606501867,106.56906818923864,104.36193416933295,105.73593314163574,141.35685752021027,Moderate
886014c905fffff,70.69215688213448,130.57281690691931,96.40732003303695,100.53919339119182,100.50399994772431,135.64052294044828,Moderate
8860145913fffff,67.9717637244642,134.6597847413949,97.83122442721398,94.0783750847657,89.83075767048418,126.572545748214,Moderate
886014591bfffff,66.6863059368118,138.47374192196324,97.70479717410186,90.55589933976171,86.11701168877259,125.64916128130882,Moderate
8861892cc9fffff,72.97707159272764,127.68211683274762,106.39818321564404,103.64016654699093,105.25246676426752,143.25690530909213,Moderate
88618924a7fffff,83.17638978494074,121.15935573160205,118.28230843004464,92.75007074112152,101.14831145875644,177.25463261646914,Moderate
88601459cdfffff,68.4991467360149,131.87106350663683,97.57600173983425,96.96775375306592,91.81530511603926,128.33048912004963,Moderate
