h3_id,ndvi_mean,ndvi_min,ndvi_max,trend_2013_2023,centroid_x,centroid_y,ward_id
8860145a21fffff,0.47935705187914335,0.4108263086243382,0.583393539932521,-0.004091343916617482,1443109.882698151,14131074.584306464,
8860145b07fffff,0.5042892054464918,0.42096467279660044,0.5658873841848303,-0.002694488620365164,1447265.8016945948,14142276.498696266,
8860145b05fffff,0.4981480155917929,0.43724591620084086,0.5580038324018122,-0.004429565528700487,1447262.8326281712,14146634.335986031,
88618925bdfffff,0.5035026950162054,0.4091565550223647,0.616080822471119,-0.003953370408897153,1442259.6386242143,14154968.683352929,
8861892e9dfffff,0.4870597328133529,0.4319529846929049,0.6069332259565086,-0.003796144740840841,1445581.6082018341,14168342.06679904,
8860145a69fffff,0.4691398427390865,0.34081663550120983,0.6003751726744725,-0.009424988456990163,1440603.7852058723,14141758.527649673,
8860145b3dfffff,0.5500908424242326,0.4439161985393538,0.6778073277386629,0.008769196723047578,1448099.9689375567,14140163.510797957,
8860145b47fffff,0.5060608719274621,0.44842673170202585,0.5631751084491134,-0.0009089783500355682,1445594.2237544046,14150865.358350206,
8860145b4dfffff,0.47800770818316934,0.4015383713935593,0.5386395951160353,-0.007123738379969063,1444756.6740993585,14157347.57406781,
8860145a2bfffff,0.478591346115447,0.39782739286979363,0.5225912605068082,-0.00025134352445210426,1442278.7678765268,14128837.158208635,
88618925adfffff,0.49193908464261793,0.4275838340083955,0.5361225483643757,0.004135233540018976,1443084.3242786129,14165957.743082909,
8860145b65fffff,0.5083730007673615,0.39365289413616933,0.5964114783709713,0.003712363049989609,1448088.1267794506,14157608.78312748,
88618925b5fffff,0.5299217695759261,0.47061535646357694,0.5950951330203227,0.002081321992604677,1443094.137005565,14152851.619812874,
88618925e5fffff,0.45898614405357774,0.41180689377711377,0.503970250837589,0.005053323747688451,1442246.2771337659,14172456.24574753,
8860145b5bfffff,0.45031677999638525,0.3379617619568436,0.5412964556842126,-0.003245625105404982,1443103.6756985174,14139775.451068107,
